"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
837,826,"782","BERTINI TRASPORTI SRL","Santa Croce sull’Arno, Italia","PI","3.754.767","4.863.778","-66.399","23.777","-1,77","0,49","-3,30","1,19",43.7101077,10.7819415
838,827,"773","MAR. VI. SPED SRL","Arzignano, Italia","VI","3.736.994","5.052.578","-655","-79.979","-0,02","-1,58","-0,08","-8,72",45.519292,11.338594
839,828,"865","DE CAMBIO & JUST IN TIME SRL","Bari, Italia","BA","3.709.109","3.515.514","19.065","3.294","0,51","0,09","14,21","2,86",41.1257843,16.8620293
840,829,"852","DOCKS CONSORZIO COMO SRL","Montano Lucino, Italia","CO","3.692.112","3.775.327","23.720","-89.352","0,64","-2,37","0,44","-1,67",45.79033145,9.02752063876818
841,830,"840","VICENTINI TRASPORTI SRL","Verona, Italia","VR","3.678.305","4.015.457","-63.260","-548.779","-1,72","-13,67","-30,60","-197,09",45.4384958,10.9924122
842,831,"821","L.T.M. SRL (GRP DI MARTINO)","Catania, Italia","CT","3.675.220","4.304.750","36.287","-98.903","0,99","-2,30","0,84","-2,30",37.5023612,15.0873718
843,832,"853","KORMAN ITALIA SRL","Trieste, Italia","TS","3.672.925","3.762.202","10.094","6.238","0,27","0,17","5,21","3,40",45.6496485,13.7772781
844,833,"687","LOGICA SPEDIZIONI SRL","Udine, Italia","UD","3.648.604","6.851.892","-11.361","-24.236","-0,31","-0,35","-12,11","-23,04",46.0634632,13.2358377
845,834,"818","JET LINE SRL","Como, Italia","CO","3.638.349","4.319.397","31.999","41.477","0,88","0,96","13,82","20,79",45.9394759,9.14941014540895
846,835,"812","ALPHA EUROPE SRL","Brescia, Italia","BS","3.625.816","4.379.015","-200.911","-20.006","-5,54","-0,46","N.D.","-18,17",45.77958045,10.4258729694612
847,836,"803","AUTOTRASPORTI MADASCHI","Carobbio Degli Angeli, Italia","BG","3.606.513","4.480.027","24.137","-4.867","0,67","-0,11","7,04","-1,53",45.665182,9.829158
848,837,"816","A.R.A. ROSSI ALFREDO SRL","Roma, Italia","RM","3.596.841","4.344.648","273.109","313.534","7,59","7,22","28,25","32,53",41.8933203,12.4829321
849,838,"829","CATURANO AUTOTRASPORTI","Maddaloni, Italia","CE","3.557.462","4.159.624","1.087.431","622.699","30,57","14,97","27,34","3,40",41.0398815,14.3792066
850,839,"824","DOCKS NORD SRL","Novate Milanese, Italia","MI","3.504.101","4.214.751","-326.909","-106.183","-9,33","-2,52","-14,97","-4,23",45.5319497,9.1401207
851,840,"740","TRASPORTI LOGISTICA JOMMI","Montecosaro Scalo, Italia","MC","3.500.712","5.689.320","16.030","-99.316","0,46","-1,75","N.D.","N.D.",43.2868994,13.64574
852,841,"793","CAMPOSTANO ANCHOR SRL","Savona, Italia","SV","3.483.585","4.621.316","-130.468","1.041.722","-3,75","22,54","-1,18","11,31",44.2334238,8.25257273702106
853,842,"861","L GERMANO E C SRL","Roma, Italia","RM","3.462.978","3.575.649","1.665","90.603","0,05","2,53","0,34","18,34",41.8933203,12.4829321
854,843,"859","ACS EXPRESS SRL","Gallarate, Italia","VA","3.457.599","3.588.521","35.244","4.154","1,02","0,12","11,35","1,51",45.6598951,8.7932013
855,844,"895","MINERVA SPA","Torrile, Italia","PR","3.421.173","2.949.012","1.807.495","1.353.321","52,83","45,89","12,80","15,32",44.8988504,10.3394973
856,845,"745","DELTA AGENZIA MARITTIMA","Milano, Italia","MI","3.387.499","5.663.066","916.483","952.234","27,05","16,81","20,52","26,83",45.4641943,9.1896346
857,846,"842","GETRASPED SRL","Magenta, Italia","MI","3.381.862","4.005.880","-96.577","12.401","-2,86","0,31","-173,80","8,15",45.4653931,8.8838429
858,847,"809","ADRIATIC AIR CARGO SRL","Rimini, Italia","RN","3.380.083","4.416.506","662","148.763","0,02","3,37","0,23","51,93",43.9470982,12.630768610516
859,848,"N.D.","AGRILOG SRL","Ravenna, Italia","RA","3.377.059","3.247.340","8.027","6.600","0,24","0,20","4,65","N.D.",44.3640607,12.0590094908639
860,849,"555","TIROLTRANS NUOVA SRL","Bolzano, Italia","BZ","3.351.963","11.242.816","-3.611.956","-560.482","-107,76","-4,99","N.D.","N.D.",46.65594545,11.2302128708753
861,850,"850","GLOBUS SPED SRL","Venezia, Italia","VE","3.327.044","3.811.897","250.464","219.591","7,53","5,76","14,07","13,47",45.4371908,12.3345898
862,851,"882","TRANSLAT SRL","Roccafranca, Italia","BS","3.318.525","3.115.884","394.893","180.276","11,90","5,79","29,87","18,17",45.4642998,9.9140564
863,852,"817","INTERTRANSPORT SRL","Genova, Italia","GE","3.315.339","4.323.571","21.675","9.028","0,65","0,21","3,23","1,39",44.40726,8.9338624
864,853,"798","INTERLINE SPA","Como, Italia","CO","3.311.863","4.560.462","-194.696","-63.548","-5,88","-1,39","-47,53","-59,03",45.9394759,9.14941014540895
865,854,"874","SACID SRL","Roma, Italia","RM","3.276.838","3.260.967","-22.938","-61.811","-0,70","-1,90","-15,31","-35,77",41.8933203,12.4829321
866,855,"800","RIPARBELLI & C.  SRL","Ravenna, Italia","RA","3.268.853","4.555.458","199.634","348.068","6,11","7,64","14,42","25,50",44.3640607,12.0590094908639
867,856,"768","RAMPININI ERNESTO SRL","Fino Mornasco, Italia","CO","3.265.514","5.209.941","41.795","203.837","1,28","3,91","0,99","4,89",45.742876,9.047639
868,857,"878","X LOGISTIC SRL","Verona, Italia","VR","3.260.000","3.188.000","-4.195","19.193","-0,13","0,60","-2,96","13,15",45.4384958,10.9924122
869,858,"880","SITES SRL","San Mauro Torinese, Italia","TO","3.257.639","3.126.208","78.553","52.869","2,41","1,69","17,28","14,19",45.1044124,7.7619962
870,859,"830","MOLLICA ASS. DOGANALE","Milano, Italia","MI","3.231.309","4.150.399","432","296","0,01","0,01","0,33","0,23",45.4641943,9.1896346
871,860,"839","INTERCONT'L SHIPPING AG.","Ravenna, Italia","RA","3.096.371","4.017.597","11.829","39.767","0,38","0,99","9,51","35,33",44.3640607,12.0590094908639
872,861,"872","CALISPED SRL","Bosisio Parini, Italia","LC","3.049.369","3.312.868","46.348","47.480","1,52","1,43","50,18","49,45",45.80228,9.290743
873,862,"866","AUTOTRASPORTI PEDOT","Lavis, Italia","TN","3.045.553","3.510.280","12.292","3.533","0,40","0,10","5,10","1,61",46.1397416,11.1102267
874,863,"897","PICCHI SPEDIZIONI SRL","Casalnuovo Di Napoli, Italia",NA,"3.041.514","2.939.107","56.229","35.520","1,85","1,21","10,32","6,85",40.9148194,14.3511247
875,864,"887","ALICARGO SRL","Segrate, Italia","MI","3.031.069","3.073.570","-199.291","-77.693","-6,57","-2,53","-66,51","-15,57",45.4907352,9.2948204
876,865,"916","4 EMME ITALIA SRL","Grassobbio, Italia","BG","3.008.371","2.495.504","103.021","3.974","3,42","0,16","7,87","0,93",45.6572304,9.7231068
877,866,"879","EURO EXPRESS SRL","Sesto Fiorentino, Italia","FI","3.001.112","3.186.515","5.384","6.301","0,18","0,20","4,96","5,93",43.831721,11.1992239
878,867,"900","NEW TRANSPORT SRL","Como, Italia","CO","2.986.084","2.852.667","301.189","347.656","10,09","12,19","21,37","18,22",45.9394759,9.14941014540895
879,868,"N.D.","HOLDINVEST MAG. FR. CAIVANO","Napoli, Italia",NA,"2.972.709","3.858.958","1.986.751","4.016.855","66,83","104,09","21,73","N.D.",40.8358846,14.2487679
880,869,"922","EDL EUROP. DISTR. LOGISTICS","Neive, Italia","CN","2.935.161","2.413.058","81.693","8.570","2,78","0,36","59,63","15,50",44.7260501,8.1151856
881,870,"899","GDN GESTIONE DEPOSITI NAZ.","Tribiano, Italia","MI","2.931.905","2.898.745","-4.506","777.439","-0,15","26,82","-0,02","5,83",45.413371,9.378952
882,871,"869","LOGIMI SRL","Modena, Italia","MO","2.928.164","3.354.079","134.448","145.774","4,59","4,35","66,05","86,20",44.5384728,10.9359608705307
883,872,"901","S.A.VE. SRL","Fiano Romano, Italia","RM","2.867.653","2.851.281","-1.051.490","-159.490","-36,67","-5,59","-44,69","-4,80",42.1719129,12.5927265
884,873,"889","INTERCARGO SRL","Brescia, Italia","BS","2.858.259","3.045.796","34.763","1.568","1,22","0,05","43,34","3,45",45.77958045,10.4258729694612
885,874,"955","SPEDIAMAR SRL","La Spezia, Italia","SP","2.850.670","1.954.606","171.753","42.642","6,03","2,18","56,14","31,78",44.23836595,9.69123263454754
886,875,"871","MAVER INT. FORW. AGENT","Segrate, Italia","MI","2.837.048","3.345.712","-31.908","2.471","-1,12","0,07","-240,62","5,47",45.4907352,9.2948204
887,876,"876","GROSS 87 SRL","Uta, Italia","CA","2.825.922","3.208.502","-112.675","-441.150","-3,99","-13,75","-2,14","-8,21",39.2909789,8.9542602
888,877,"877","BS FORWARDING SRL","Brescia, Italia","BS","2.770.989","3.198.826","-1.479.299","18.168","-53,39","0,57","N.D.","3,26",45.77958045,10.4258729694612
889,878,"N.D.","ENTERPRISE SHIPPING AGENCY","Genova, Italia","GE","2.751.545","2.987.688","85.675","5.675","3,11","0,19","4,00","N.D.",44.40726,8.9338624
890,879,"924","GALERIA TRASPORTI SRL","Roma, Italia","RM","2.745.553","2.395.821","53.803","7.504","1,96","0,31","8,10","1,23",41.8933203,12.4829321
891,880,"825","TRANSITEX ITALIA SRL","Genova, Italia","GE","2.722.259","4.210.145","-156.561","-121.393","-5,75","-2,88","N.D.","N.D.",44.40726,8.9338624
892,881,"831","ITALIANA CARGO SRL","Caponago, Italia","MI","2.707.457","4.137.332","-67.685","7.087","-2,50","0,17","-51,13","3,54",45.5654382,9.3754414
893,882,"907","LDF SRL LOGISTICA DEL FREDDO","Assago, Italia","MI","2.699.987","2.669.221","148.563","118.639","5,50","4,44","34,18","41,46",45.4053966,9.1313547
894,883,"923","S.T.E. SERV. TRASP. ECOLOGICI","Misinto, Italia","MI","2.698.110","2.410.945","154.792","21.347","5,74","0,89","30,94","5,41",45.662375,9.083941
895,884,"891","SOC. AUTOTRASP. SPECIALI","Castelmassa, Italia","RO","2.691.053","3.025.449","193.521","174.394","7,19","5,76","4,96","4,70",45.0168524,11.310498
897,885,"620","FEREST LOGISTICS SRL","Cervignano, Italia","UD","2.681.231","8.811.467","145.850","397.472","5,44","4,51","20,56","41,25",45.8162604,13.3411852
898,886,"881","ALIMPEX CAD SRL","Pioltello, Italia","MI","2.610.394","3.121.851","43.264","44.298","1,66","1,42","11,35","13,11",45.5010216,9.3263354
899,887,"844","REICHENEDER ITALIA SRL","Laives, Italia","BZ","2.563.763","3.979.169","-66.948","-183.631","-2,61","-4,61","N.D.","-620,15",46.422819,11.3347713
900,888,"884","CAV. PLACIDO MACOR SRL","Genova, Italia","GE","2.557.113","3.104.668","-19.418","54.926","-0,76","1,77","-6,78","17,96",44.40726,8.9338624
901,889,"904","VITTORIO ZERBINO GDT","Genova, Italia","GE","2.549.138","2.735.552","29.583","162.756","1,16","5,95","3,02","17,12",44.40726,8.9338624
902,890,"885","GREENSHILDS PROJ. CARGO","Livorno, Italia","LI","2.545.148","3.084.130","-24.833","5.579","-0,98","0,18","-15,25","2,97",42.7902166,10.340278678735
903,891,"949","FABER SPED SRL","Fabriano, Italia","AN","2.541.212","2.034.578","34.479","15.544","1,36","0,76","7,54","3,68",43.3358407,12.9046187
904,892,"828","C.M.T. SRL","Flumeri, Italia","AV","2.537.493","4.167.432","-342.399","7.859","-13,49","0,19","-20,29","0,34",41.077821,15.147747
905,893,"919","NEW DOCKS SRL","Nerviano, Italia","MI","2.536.803","2.441.480","18.534","80.552","0,73","3,30","10,45","7,91",45.5536472,8.970719
906,894,"917","SOTRAN SRL","Nocera Inferiore, Italia","SA","2.528.844","2.455.510","105.161","93.858","4,16","3,82","29,65","37,61",40.7472133,14.6433202
907,895,"864","BIANCHI ANGELO SRL","Costa Volpino, Italia","BG","2.520.461","3.525.011","25.354","9.134","1,01","0,26","3,87","1,45",45.829888,10.098161
908,896,"934","F.LLI GAMBETTA SRL","Genova, Italia","GE","2.513.633","2.247.005","32.215","18.734","1,28","0,83","22,12","16,52",44.40726,8.9338624
909,897,"892","SPEED SERVICE SRL","Fosso', Italia","VE","2.477.734","3.001.091","22.245","44.608","0,90","1,49","1,52","3,09",45.3856495,12.048577
910,898,"888","MAG. FRIGORIFERI PACARO","Borgorose, Italia","RI","2.467.712","3.051.697","-405.876","37.070","-16,45","1,21","-3835,17","8,90",42.1933543,13.2338183
911,899,"870","TRANS ITALADIEM SRL","Milano, Italia","MI","2.461.749","3.350.334","80.253","-21.010","3,26","-0,63","4,51","-2,10",45.4641943,9.1896346
912,900,"912","FLORATRAS SRL","Chiusi, Italia","SI","2.425.894","2.537.933","-150.722","17.531","-6,21","0,69","-14,08","1,98",43.0165076,11.9477118
913,901,"936","COLETTO LOGISTICA TRASPORTI","Monfalcone, Italia","GO","2.403.032","2.186.692","65.878","54.422","2,74","2,49","7,93","7,12",45.8049454,13.5330592
914,902,"408","LA PETROLIFERA ITALO RUMENA","Bologna, Italia","BO","2.394.897","16.597.706","2.520.025","7.275.116","105,22","43,83","1,32","3,78",44.4939334,11.3425798
915,903,"722","DONATO DI FONZO SPA","Vasto, Italia","CH","2.390.831","6.012.572","254","108.988","0,01","1,81","N.D.","0,53",42.12434,14.705923
916,904,"910","F.LLI FRASCARI SRL","Castellarano, Italia","RE","2.388.108","2.572.787","19.894","23.820","0,83","0,93","5,45","6,90",44.5102806,10.7286395
917,905,"931","MAG. GEN. FIDUCIARI MANTOVA","Suzzara, Italia","MN","2.356.442","2.273.009","337.371","470.475","14,32","20,70","2,92","4,20",44.991873,10.74309
918,906,"920","NEW CARGOJET SRL","Buccinasco, Italia","MI","2.334.007","2.439.266","31.639","37.079","1,36","1,52","9,60","12,45",45.4223013,9.1082675
919,907,"883","FERRARO TRASPORTI SRL","Millesimo, Italia","SV","2.331.502","3.107.396","134.872","-109.063","5,78","-3,51","N.D.","N.D.",44.367536,8.201746
920,908,"932","ALEMANNO & C. SRL","Livorno, Italia","LI","2.312.369","2.254.763","28.128","-37.197","1,22","-1,65","54,10","-155,90",42.7902166,10.340278678735
921,909,"913","BLU SYSTEM SRL","Gallarate, Italia","VA","2.278.508","2.534.344","123.470","91.277","5,42","3,60","19,86","16,65",45.6598951,8.7932013
922,910,"851","EMILSPED SRL","Modena, Italia","MO","2.244.568","3.801.476","-49.119","-544","-2,19","-0,01","-21,64","-0,20",44.5384728,10.9359608705307
923,911,"945","ALGHESPED SRL","Venezia, Italia","VE","2.226.828","2.072.543","-14.594","16.829","-0,66","0,81","-28,81","25,79",45.4371908,12.3345898
924,912,"875","MED TRANS WORLD SRL","Civitanova Marche, Italia","MC","2.226.712","3.218.361","26.993","109.352","1,21","3,40","11,09","50,53",43.3055233,13.7229297
925,913,"905","GOSPED SRL","Fontaneto d’Agogna, Italia","NO","2.224.912","2.734.117","-34.514","36.891","-1,55","1,35","-3,04","7,12",45.6434689,8.4808276
926,914,"914","FERTRANSPORT SRL","Locate Di Triulzi, Italia","MI","2.149.077","2.529.719","-61.098","1.503","-2,84","0,06","-62,01","1,34",45.3579318,9.2246411
927,915,"977","MILOSPED SRL","Parma, Italia","PR","2.081.984","1.654.405","-24.853","-29.171","-1,19","-1,76","-6,60","-11,08",44.8013678,10.3280833
928,916,"962","BARATTO SPEDIZIONI SRL","Pordenone, Italia","PN","2.080.402","1.882.117","39.071","10.227","1,88","0,54","33,51","13,19",45.9562503,12.6597197
929,917,"894","AVIOSERVIZI SRL","Como, Italia","CO","2.075.883","2.950.292","-158.734","6.124","-7,65","0,21","-296,49","2,89",45.9394759,9.14941014540895
930,918,"968","MELSPED SRL","Saonara, Italia","PD","2.064.476","1.805.737","116.027","73.229","5,62","4,06","5,35","3,57",45.370221,11.9840665
931,919,"946","ITAL TRANS SPA","Modugno, Italia","BA","2.046.881","2.072.474","15.421","6.557","0,75","0,32","5,73","2,58",41.0825639,16.7805515
932,920,"928","BRIXIA ZUST SRL","Brescia, Italia","BS","2.030.139","2.322.621","15.203","-30.732","0,75","-1,32","8,85","-6,45",45.77958045,10.4258729694612
933,921,"930","TRAMES SRL","Milano, Italia","MI","2.003.631","2.277.349","-113.634","-108.726","-5,67","-4,77","-1635,26","-433,50",45.4641943,9.1896346
934,922,"902","PEGASO EXPRESS SRL","Rivoli, Italia","TO","2.001.319","2.846.399","13.098","49.313","0,65","1,73","3,46","13,50",45.0697151,7.5176764
935,923,"906","KESTREL ITALIA SRL","Genova, Italia","GE","1.999.640","2.685.942","73.784","94.331","3,69","3,51","5,90","8,01",44.40726,8.9338624
936,924,"921","AIR SEA ITALIA SRL","Fidenza, Italia","PR","1.998.211","2.433.510","233.252","188.962","11,67","7,76","29,43","30,03",44.866522,10.0611939
937,925,"941","PANZERI LOGISTICA SRL","Castello Di Brianza, Italia","LC","1.987.503","2.139.119","2.941","3.374","0,15","0,16","2,11","2,46",45.7564706,9.34535476002354
938,926,"947","SDAG SPA INTERPORTO GORIZIA","Gorizia, Italia","GO","1.971.637","2.059.015","96.254","-155.056","4,88","-7,53","4,12","-6,93",45.9441278,13.6252288
939,927,"903","MARINO GIADA SRL","Ravenna, Italia","RA","1.955.765","2.793.437","-46.457","-28.090","-2,38","-1,01","-7,57","-4,26",44.3640607,12.0590094908639
940,928,"940","PORTRANS SRL","Bari, Italia","BA","1.955.373","2.148.394","62.579","103.875","3,20","4,84","7,53","13,51",41.1257843,16.8620293
941,929,"938","SPATRA SERVIZI SRL","Fiorano Modenese, Italia","MO","1.952.345","2.173.886","45.146","31.961","2,31","1,47","3,09","2,26",44.539143,10.8118482
942,930,"942","GETRIN SRL","La Spezia, Italia","SP","1.949.756","2.121.896","3.488","12.727","0,18","0,60","0,91","3,36",44.23836595,9.69123263454754
943,931,"937","PARODI SPA","Genova, Italia","GE","1.922.129","2.182.594","163.379","132.004","8,50","6,05","2,84","2,41",44.40726,8.9338624
944,932,"950","ALPINA SRL TRASPORTI","Lainate, Italia","MI","1.914.967","2.005.057","-6.423","281","-0,34","0,01","-19,07","0,70",45.5717302,9.028461
945,933,"963","GIORDANO TRASPORTI","Casale Monferrato, Italia","AL","1.913.991","1.879.479","7.471","7.604","0,39","0,40","1,43","1,48",45.1362661,8.4498127
946,934,"970","MARIOTTO SRL","Torri Di Quartesolo, Italia","VI","1.887.645","1.776.959","999","5.354","0,05","0,30","0,38","2,02",45.5192662,11.6171199
947,935,"960","INTERPATAVIUM SRL","Padova, Italia","PD","1.884.949","1.904.559","92","1.478","0,00","0,08","0,01","0,15",45.4077172,11.8734455
948,936,"918","MARONGIU SRL","Porto Torres, Italia","SS","1.875.009","2.441.695","-85.426","-55.357","-4,56","-2,27","-71,33","-26,54",40.8370333,8.4013292
949,937,"933","RUGGHIA TRASPORTI SRL","Roma, Italia","RM","1.872.659","2.251.843","46.256","152.255","2,47","6,76","4,14","14,21",41.8933203,12.4829321
950,938,"978","MONTALTI WORLDWIDE MOVING","Cesena, Italia","FC","1.868.564","1.645.230","4.446","199.448","0,24","12,12","0,20","8,81",44.136352,12.2422442
951,939,"943","DOTTA SRL","Savona, Italia","SV","1.851.718","2.103.186","-16.608","-66.034","-0,90","-3,14","-3,49","-13,39",44.2334238,8.25257273702106
952,940,"944","GATTO MILANO SRL","Cologno Monzese, Italia","MI","1.848.838","2.093.562","-29.383","-18.672","-1,59","-0,89","-14,08","-7,84",45.528554,9.2782244
953,941,"867","DELIVERY BY EXPRESS DBE SRL","Milano, Italia","MI","1.848.601","3.382.554","-55.375","293.356","-3,00","8,67","-2,35","12,17",45.4641943,9.1896346
954,942,"953","BEAUVAIS INTERNAT. SRL","Turate, Italia","CO","1.843.252","1.988.068","120.189","82.510","6,52","4,15","54,06","80,78",45.6548024,9.0022871
955,943,"971","RAM DEPOSITI AUTOTRASP.","Caronno Pertusella, Italia","VA","1.835.003","1.763.139","-806.692","-291.617","-43,96","-16,54","-14,21","-4,50",45.5971023,9.0509248
956,944,"929","S.I.A.F. SRL","Foggia, Italia","FG","1.790.906","2.281.201","31.240","21.110","1,74","0,93","6,07","4,37",41.50281055,15.4528996096277
957,945,"948","LIGURE TOSCANA SPEDIZIONI","Genova, Italia","GE","1.788.067","2.040.833","-2.248","17.001","-0,13","0,83","-1,11","8,23",44.40726,8.9338624
958,946,"989","ALISPED SRL","Trieste, Italia","TS","1.783.922","1.527.721","50.348","6.968","2,82","0,46","10,65","1,22",45.6496485,13.7772781
959,947,"915","3 ESSE SOC. SVILUPPO SERVIZI","Cortemaggiore, Italia","PC","1.778.176","2.508.516","201.263","55.229","11,32","2,20","3,02","0,85",44.9963532,9.9310724
960,948,"911","TRANSITALY SRL","San Miniato, Italia","PI","1.753.721","2.563.686","47.144","115.255","2,69","4,50","0,90","2,16",43.6797502,10.8500949
961,949,"1032","MARIO D'ANGIOLO E C SRL","Napoli, Italia",NA,"1.742.851","1.010.216","3.296","1.947","0,19","0,19","2,56","1,55",40.8358846,14.2487679
962,950,"982","AUTOTRASPORTI FORTUNATO","Faenza, Italia","RA","1.739.193","1.625.450","23.168","-34.803","1,33","-2,14","10,64","-17,89",44.2855555,11.8832055
963,951,"957","FERRARI E SUZZI SRL","Albenga, Italia","SV","1.700.854","1.930.453","-226.494","-143.190","-13,32","-7,42","N.D.","N.D.",44.0492503,8.2131239
964,952,"956","EIR CASA DI SPEDIZIONI","Capriano Del Colle, Italia","BS","1.700.781","1.944.413","-48.707","1.702","-2,86","0,09","-21,41","0,62",45.4548691,10.1303478
966,953,"987","SPEDIMEC SRL","Imperia, Italia","IM","1.691.755","1.547.031","11.936","6.262","0,71","0,40","3,22","1,37",43.95837525,7.86674271467428
967,954,"980","SO.NA.D. SRL","Ravenna, Italia","RA","1.687.291","1.634.080","142.470","101.348","8,44","6,20","91,57","88,54",44.3640607,12.0590094908639
968,955,"630","U.T.M. LOGISTICA TRASP. SPA","Saviano, Italia",NA,"1.686.696","8.326.248","-262.314","10.757","-15,55","0,13","-22,29","0,75",40.905613,14.505035
969,956,"986","ITALNOLI SRL","Fiumicino, Italia","RM","1.683.058","1.551.629","115.895","13.526","6,89","0,87","65,73","18,42",41.7712145,12.2278855
970,957,"967","SPEDIZIONI RAVENNA SRL","Ravenna, Italia","RA","1.667.051","1.817.666","4.580","-19.766","0,27","-1,09","3,65","-16,36",44.3640607,12.0590094908639
971,958,"964","AUTOTRASPORTI ALBIERO LUIGI","Arzignano, Italia","VI","1.658.763","1.866.301","34.506","25.271","2,08","1,35","2,01","2,59",45.519292,11.338594
972,959,"969","ALITRANS SRL","San Martino In Strada, Italia","LO","1.656.468","1.784.606","407.842","413.292","24,62","23,16","21,49","25,05",45.2715321,9.5280318
973,960,"983","INDATRANS SRL","Milano, Italia","MI","1.641.316","1.619.240","-1.537","-1.467","-0,09","-0,09","-1,04","-1,02",45.4641943,9.1896346
974,961,"951","POLO SPEDIZIONI SRL","Livorno, Italia","LI","1.619.910","1.993.331","-11.305","2.255","-0,70","0,11","-19,62","3,27",42.7902166,10.340278678735
975,962,"996","MIGLIAVADA SRL","Como, Italia","CO","1.605.274","1.463.758","46.928","45.503","2,92","3,11","18,06","21,37",45.9394759,9.14941014540895
976,963,"988","COURIER EXPRES SRL","Sannicandro Di Bari, Italia","BA","1.569.607","1.529.480","27.887","18.258","1,78","1,19","11,68","8,66",41.0005205,16.7976967
977,964,"976","C.T.N. COMP. TRASP. NAZ. SRL","Tribiano, Italia","MI","1.566.510","1.683.853","-5.219","-10.195","-0,33","-0,61","-16,22","-27,27",45.413371,9.378952
978,965,"857","JOSEPH LUISE E SONS SRL","Napoli, Italia",NA,"1.565.736","3.647.019","1.151.936","711.349","73,57","19,50","30,62","27,26",40.8358846,14.2487679
979,966,"984","ALFASPED INTERNATIONAL SRL","Genova, Italia","GE","1.561.067","1.567.636","20.494","15.437","1,31","0,98","7,05","5,71",44.40726,8.9338624
980,967,"981","MORIGI ROBERTO SRL","Forli', Italia","FC","1.543.081","1.633.465","306.823","266.088","19,88","16,29","10,92","14,15",44.2227278,12.041273
981,968,"952","ALPI LAGHI SRL","San Fermo della Battaglia, Italia","CO","1.539.292","1.991.462","18.060","3.319","1,17","0,17","42,25","13,45",45.8084245,9.048551
982,969,"991","MAG. GEN. DOGANALI RIUNITI","Arluno, Italia","MI","1.510.130","1.509.303","601.882","832.762","39,86","55,18","3,72","9,27",45.50507,8.941541
983,970,"958","H.T. AG. MARITT. SPEDIZIONI","Genova, Italia","GE","1.486.132","1.922.216","7.718","13.301","0,52","0,69","6,92","12,82",44.40726,8.9338624
984,971,"975","IMTRAS SRL","Landriano, Italia","PV","1.485.485","1.685.679","38.902","38.190","2,62","2,27","5,22","6,32",45.311968,9.260052
985,972,"961","STICCO SPED SRL","Nola, Italia",NA,"1.472.093","1.898.710","69.648","56.026","4,73","2,95","11,32","7,51",40.9210826,14.5327402
986,973,"1010","MARCANDIA SRL","Ravenna, Italia","RA","1.441.508","1.310.960","-405.394","-18.180","-28,12","-1,39","N.D.","-73,18",44.3640607,12.0590094908639
987,974,"990","C.O.F. CENTRO ORTO FRUTTA","Carpiano, Italia","MI","1.421.253","1.514.860","-74.849","-378.973","-5,27","-25,02","-0,23","-1,14",45.3405722,9.2727326
988,975,"992","CONSULSPED SRL","Treviso, Italia","TV","1.420.007","1.492.191","97.278","46.751","6,85","3,13","11,07","5,62",45.80669135,12.2063157631164
989,976,"954","SEATRANSPORT SRL","Livorno, Italia","LI","1.380.045","1.967.584","175.294","275.691","12,70","14,01","14,65","21,26",42.7902166,10.340278678735
990,977,"966","SIDERSPED SRL","Venezia, Italia","VE","1.378.195","1.856.829","195","26.907","0,01","1,45","0,12","16,52",45.4371908,12.3345898
991,978,"1014","SISTEM TRASPORTI SRL","Pregnana Milanese, Italia","MI","1.377.528","1.266.218","247.769","112.955","17,99","8,92","13,67","6,99",45.5158489,9.0080123
992,979,"890","MULTI MARINE SERVICES SRL","Genova, Italia","GE","1.345.412","3.035.146","-243.744","-47.934","-18,12","-1,58","-132,90","-11,22",44.40726,8.9338624
993,980,"926","TEAM SHIPPING AGENCY SRL","Venezia, Italia","VE","1.343.128","2.350.272","39.090","96.739","2,91","4,12","3,32","8,51",45.4371908,12.3345898
994,981,"1006","GEOSPED SRL","Dalmine, Italia","BG","1.335.556","1.360.663","-86.927","-33.683","-6,51","-2,48","-19,29","-6,27",45.6525039,9.6060129
995,982,"939","B.A.S. SRL","Roma, Italia","RM","1.313.461","2.152.416","45.189","124.148","3,44","5,77","11,17","25,68",41.8933203,12.4829321
996,983,"974","GLOBALSPED SRL","Genova, Italia","GE","1.289.075","1.720.512","47.058","70.930","3,65","4,12","17,80","24,68",44.40726,8.9338624
997,984,"959","DALE' SILVIO SRL","Brescia, Italia","BS","1.280.356","1.908.582","87.575","91.512","6,84","4,79","40,86","47,70",45.77958045,10.4258729694612
998,985,"1016","VERONA FREDDO SRL","Verona, Italia","VR","1.255.409","1.206.753","16.924","16.580","1,35","1,37","9,06","9,76",45.4384958,10.9924122
999,986,"1005","SIMAT SRL","Genova, Italia","GE","1.241.255","1.362.691","-5.375","-484","-0,43","-0,04","-39,84","-2,57",44.40726,8.9338624
1000,987,"1021","LUCIANO FRANZOSINI SRL","Roma, Italia","RM","1.207.396","1.146.162","-22.246","2.282","-1,84","0,20","-33,31","2,56",41.8933203,12.4829321
1001,988,"1018","CITTEM SPEDIZIONI SRL","Alpignano, Italia","TO","1.195.075","1.188.782","35.975","25.679","3,01","2,16","72,49","65,29",45.0957237,7.5254027
1002,989,"1019","COLUMBIA TRANSPORT SRL","Ravenna, Italia","RA","1.190.166","1.166.593","5.820","2.982","0,49","0,26","4,36","2,34",44.3640607,12.0590094908639
