"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
715,706,"678","EWALS CARGO CARE SRL","Novara, Italia","NO","5.863.372","7.040.376","81.201","170.339","1,38","2,42","19,65","33,93",45.58425005,8.54599697089457
716,707,"753","ASSITUR SRL","Catanzaro, Italia","CZ","5.843.190","5.514.919","176.993","-392.757","3,03","-7,12","46,72","-194,60",38.82996035,16.4315568762783
717,708,"712","SPEDITION OBERHAMMER SRL","Bolzano, Italia","BZ","5.821.287","6.243.342","346.042","231.934","5,94","3,71","13,50","11,27",46.65594545,11.2302128708753
718,709,"676","SODELE MAG. GEN. E FRIGORIFERI","Sant' Ilario d’Enza, Italia","RE","5.744.525","7.099.871","746.381","891.346","12,99","12,55","12,16","15,39",44.7605046,10.4498922
719,710,"767","OLIVA SPEDIZIONI SPA","Genova, Italia","GE","5.725.998","5.210.576","83.453","64.100","1,46","1,23","11,25","8,87",44.40726,8.9338624
720,711,"835","AIR SEA SERVICE SRL","Brescia, Italia","BS","5.685.571","4.106.083","559.644","308.436","9,84","7,51","79,54","69,48",45.77958045,10.4258729694612
721,712,"729","CLS SRL CONSERVA LOG. SOL.","Modugno, Italia","BA","5.668.966","5.878.784","25.236","18.080","0,45","0,31","N.D.","N.D.",41.0825639,16.7805515
722,713,"849","I.T.L. SRL","Civitanova Marche, Italia","MC","5.666.742","3.851.596","106.350","34.622","1,88","0,90","54,38","38,80",43.3055233,13.7229297
723,714,"802","CORE LOGISTICS SRL","Robecco Sul Naviglio, Italia","MI","5.658.555","4.492.567","60.291","150.735","1,07","3,36","7,19","7,50",45.4365073,8.887279
724,715,"413","STEF SEAFOOD ITALIA SRL","Colturano, Italia","MI","5.658.000","16.367.000","-2.731.000","-1.938.000","-48,27","-11,84","N.D.","N.D.",45.37977,9.337852
725,716,"733","STRAMMIELLO TRASPORTI SRL","Matera, Italia","MT","5.601.589","5.778.762","13.731","1.338","0,25","0,02","1,80","0,18",40.4476419,16.4735738402885
726,717,"737","ASCO SRL","Bari, Italia","BA","5.583.304","5.724.110","46.895","37.494","0,84","0,66","14,97","14,07",41.1257843,16.8620293
727,718,"686","C.C.S. CENTRO COORD. SPEDIZ.","Asti, Italia","AT","5.513.950","6.904.960","-9.483","54.670","-0,17","0,79","-0,70","3,75",44.82601265,8.20268632898727
728,719,"700","C.T.M. ITALIA SRL","Collesalvetti, Italia","LI","5.432.590","6.677.453","8.241","2.604","0,15","0,04","0,98","0,36",43.588912,10.476264
729,720,"736","DERRICK SRL","Genova, Italia","GE","5.419.394","5.725.425","385.717","-328.405","7,12","-5,74","40,80","-58,68",44.40726,8.9338624
730,721,"757","GENERAL EXPORT SRL","Livorno, Italia","LI","5.404.083","5.472.685","2.940","-202.085","0,05","-3,69","1,33","-92,66",42.7902166,10.340278678735
731,722,"776","DE POLI AUTOTRASPORTI SPA","Rivoli Cascine Vica, Italia","TO","5.401.729","4.978.911","57.534","27.380","1,07","0,55","13,28","7,29",45.07226895,7.52863921176133
732,723,"784","TEKNO SPEDIZIONI SRL","Carrara, Italia","MS","5.391.052","4.850.285","-21.713","-205.504","-0,40","-4,24","-27,69","-205,21",44.0791804,10.1023532
733,724,"769","SIRIO SRL","Varese, Italia","VA","5.355.167","5.182.312","2.668","4.910","0,05","0,09","0,26","0,58",45.8397203,8.75413383805657
734,725,"779","SOLACEM SPA","Napoli, Italia",NA,"5.352.737","4.940.925","883.522","924.718","16,51","18,72","14,51","15,84",40.8358846,14.2487679
735,726,"708","DOLCEMARE-FRIGOVENICE SRL","Marcon, Italia","VE","5.352.366","6.355.884","255.634","5.622","4,78","0,09","7,67","0,18",45.5543277,12.2993821
736,727,"791","OLISPED SRL","Genova, Italia","GE","5.351.791","4.682.875","224.747","241.664","4,20","5,16","23,93","26,43",44.40726,8.9338624
737,728,"724","PRISMA SRL","Civitanova Marche, Italia","MC","5.350.016","5.978.429","146.791","209.181","2,74","3,50","13,97","23,13",43.3055233,13.7229297
738,729,"775","SPEDITRANS DI BONGIOVANNI","Ravenna, Italia","RA","5.337.009","5.014.778","150.808","52.895","2,83","1,05","44,00","21,61",44.3640607,12.0590094908639
739,730,"748","TAG GENERAL AIR TRANSPORT","Calderara Di Reno, Italia","BO","5.334.088","5.631.756","257.219","125.370","4,82","2,23","19,02","11,45",44.5630515,11.271693
740,731,"739","ALASKA SRL","Cesena, Italia","FC","5.329.096","5.705.807","12.297","12.135","0,23","0,21","3,02","2,85",44.136352,12.2422442
